,Unnamed: 0,source,name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
28947,28947,city scrape,Quartinho em Copacabana,2020-01-08,Brazil,within an hour,100%,93%,t,Santa Cruz,4.0,4.0,t,,Copacabana,Private room in rental unit,Private room,1,2.0,1.0,1.0,$281.00,1,90,1,4,90,90,t,22,52,77,77,33,33,2,2024-05-05,2024-12-23,4.82,4.88,4.91,5.0,5.0,4.97,4.85,f,4,0,4,0,4.16
28949,28949,city scrape,Estúdio Verde e Rosa,2020-09-07,Brazil,within an hour,100%,100%,f,Centro,1.0,1.0,t,,Centro,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,$325.00,3,180,3,5,180,180,t,18,44,59,289,8,8,1,2024-04-30,2024-12-02,5.0,5.0,5.0,5.0,5.0,4.88,5.0,f,1,1,0,0,0.99
28950,28950,city scrape,Albq302 | Triplex in Leblon with pool and view,2023-05-30,,within an hour,100%,47%,t,Santa Cruz,15.0,15.0,t,,Leblon,Entire rental unit,Entire home/apt,5,3.5,2.0,3.0,$647.00,1,1125,1,5,1,1125,t,11,39,59,324,3,3,0,2024-08-23,2024-11-17,4.67,4.67,4.33,5.0,5.0,4.33,3.67,f,12,8,4,0,0.71
28959,28959,city scrape,Copanema Room!,2023-03-18,"Rio de Janeiro, Brazil",within a few hours,100%,17%,f,Copacabana,2.0,2.0,t,,Copacabana,Entire rental unit,Entire home/apt,2,4.0,1.0,1.0,$249.00,3,20,3,3,20,20,t,0,0,11,11,0,0,0,,,,,,,,,,f,2,1,1,0,
28960,28960,city scrape,Arte & conforto - Jacarepaguá  (rio centro),2022-09-15,,within a few hours,96%,79%,,Barra da Tijuca,2.0,3.0,t,,Jacarepaguá,Entire rental unit,Entire home/apt,10,2.0,3.0,3.0,$617.00,3,120,3,3,120,120,t,10,37,61,238,18,18,1,2024-03-31,2024-12-03,4.83,4.83,4.72,4.89,5.0,4.72,4.83,f,1,1,0,0,1.99
28961,28961,city scrape,Luxurious triplex penthouse in Leblon - Leb015,2023-10-31,,within an hour,100%,75%,f,Ipanema,10.0,11.0,t,,Leblon,Entire rental unit,Entire home/apt,4,3.0,2.0,2.0,"$11,934.00",3,90,3,7,90,90,t,0,0,0,48,0,0,0,,,,,,,,,,f,9,9,0,0,
28964,28964,previous scrape,Copanema: fique entre as 2 mais bonitas praias.,2022-11-07,,within a few hours,100%,100%,f,Copacabana,1.0,2.0,t,,Copacabana,Entire rental unit,Entire home/apt,4,,1.0,,,3,240,3,3,1125,1125,t,14,14,17,197,6,6,0,2024-04-30,2024-11-17,4.67,4.67,4.5,5.0,5.0,4.83,4.83,f,1,1,0,0,0.74
28965,28965,city scrape,Apartamento com Varanda RioCentro/ Barra Olimpica,2023-11-20,"Rio de Janeiro, Brazil",within a few hours,87%,83%,f,Jacarepaguá,2.0,2.0,t,,Camorim,Entire rental unit,Entire home/apt,4,1.0,1.0,0.0,$718.00,2,120,2,2,120,120,t,24,30,30,30,0,0,0,,,,,,,,,,f,2,1,1,0,
28971,28971,city scrape,Casa charmosinha de Paquetá,2024-04-01,"Rio de Janeiro, Brazil",within an hour,100%,60%,f,Paquetá,1.0,1.0,t,"Rio de Janeiro, Brazil",Paquetá,Entire home,Entire home/apt,6,1.0,2.0,2.0,$720.00,1,365,1,1,365,365,t,25,55,85,265,1,1,0,2024-04-07,2024-04-07,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.11
28976,28976,city scrape,Pé na Areia 2,2022-08-15,,within a few hours,91%,53%,f,Copacabana,8.0,9.0,t,,Copacabana,Entire rental unit,Entire home/apt,8,2.0,3.0,8.0,"$3,500.00",2,365,2,2,365,365,t,8,17,42,217,8,8,0,2024-07-07,2024-11-17,4.75,4.25,4.75,5.0,5.0,5.0,4.5,f,8,8,0,0,1.37
28978,28978,city scrape,Quarto arejado em Santa Teresa,2024-03-28,,a few days or more,33%,100%,f,Santa Teresa,1.0,1.0,t,,Santa Teresa,Private room in home,Private room,1,1.0,1.0,1.0,$200.00,7,15,7,7,15,15,t,22,52,82,262,0,0,0,,,,,,,,,,f,1,0,1,0,
